metric,pre_ai_median,post_ai_median,pre_ai_mean,post_ai_mean,mann_whitney_u,p_value,significant
merged,1.0,0.0,0.6282051282051282,0.47730398899587345,163157.5,1.4738651935272541e-06,Yes
insertions_log,2.9700856263602153,2.9444389791664403,3.028939464443578,3.0182612576986965,141144.5,0.9038952634654698,No
deletions_log,1.3862943611198906,1.0986122886681098,1.7002874832990633,1.7106071868216772,142567.0,0.8750109351444548,No
files_changed,2.0,2.0,194.42307692307693,94.27647867950482,144619.5,0.5608834392627822,No
commits_count,2.0,2.0,4.0717948717948715,4.731774415405777,123782.5,0.0003189750883548219,Yes
review_count,2.0,2.0,3.2717948717948717,3.500687757909216,138547.0,0.5250510806905209,No
body_length,320.0,469.0,1101.0410256410257,787.5048143053646,117336.0,2.0016097597038615e-06,Yes
time_to_merge_days,3.916828703703704,4.719571759259259,25.723979639077854,18.835024182143236,40688.0,0.374831943165544,No
