task_type,start_merge_rate,end_merge_rate,kendall_tau,p_value,trend,p_adjusted,trend_corrected
bug,50.0,66.66666666666666,-0.28472212321782475,0.00488333356162983,decreasing,0.01953333424651932,decreasing
feature,66.66666666666666,0.0,0.00205405507433002,0.9846867111684012,no trend,0.9846867111684012,no trend
other,75.0,20.0,-0.25573881630437567,0.011191314583867198,decreasing,0.033573943751601595,decreasing
documentation,100.0,14.285714285714285,-0.250873913781557,0.023108952922702458,decreasing,0.046217905845404916,decreasing
