repo,total_gfi,gfi_ratio_y1,gfi_ratio_y4,ratio_change,merge_rate,avg_reviews,avg_body_len,pr_count,early_ratio,late_ratio,cluster,pc1,pc2
JuliaLang_julia,111,2.7777777777777777,1.2260536398467434,-0.6317070424304485,54.54545454545454,0.0,519.0454545454545,22,2.131782945736434,1.5000759033059854,3,-0.3173214100971421,-0.09230128289213375
angular_angular,223,1.6587677725118484,3.0878859857482186,2.5053236392027696,0.0,0.0,856.9565217391304,23,1.8353451381188153,4.340668777321585,2,1.2267486314566123,3.3217849185041315
ant-design_ant-design,18,0.19004180919802355,0.21152829190904282,-0.07513247921696692,33.33333333333333,0.0,1517.0,3,0.21843416270902588,0.14330168349205896,2,-1.0203127295616818,1.0759457996011121
bitcoin_bitcoin,41,1.8292682926829267,0.8291873963515755,-0.456734038129587,66.66666666666666,0.0,269.25,12,2.0055432372505546,1.5488091991209676,3,-1.090770270854717,-0.06972867413547991
denoland_deno,151,2.1343377275580666,1.1342846688620563,0.21482488429858937,82.5,0.0,430.475,40,1.7424935391037086,1.957318423402298,3,0.004671491829548451,-0.2541530329345199
electron_electron,13,0.4491858506457047,0.08733624454148471,-0.2532716007100718,60.0,0.0,1137.6,5,0.3350494790783752,0.08177787836830333,3,-1.319181244093515,0.32029533043182634
excalidraw_excalidraw,66,1.717557251908397,3.6069651741293534,0.09213104800240579,40.0,0.0,265.75,20,2.3003567746643654,2.392487822666771,2,-0.46526342669268134,0.8888263802949642
facebook_react,5,0.09532888465204957,0.13157894736842105,-0.03956087825470156,0.0,0.0,626.0,2,0.1753783631433939,0.13581748488869233,2,-0.7636647267547227,1.9119732399756513
flutter_flutter,180,0.3807471264367816,0.48886948930597995,0.12947547657915948,61.904761904761905,0.0,1696.8095238095239,21,0.29214733466357834,0.4216228112427378,3,0.10101320339474784,0.17654644145533221
godotengine_godot,136,1.3089005235602094,0.04516031913292187,-0.9620910086130972,88.88888888888889,0.0,5534.861111111111,36,0.9846711681795581,0.022580159566460936,3,-0.2975340049835026,-1.2454179593346304
huggingface_transformers,131,1.3704318936877076,1.0874111250522793,-0.09194135096304668,57.77777777777777,0.0,1307.1888888888889,90,1.3064584318137937,1.214517080850747,3,0.9660317414706906,-0.05157681166557301
kubernetes_kubernetes,64,1.006711409395973,0.3386550556361877,-0.4055609438796508,31.428571428571427,0.0,1419.4714285714285,70,0.9257656646802008,0.52020472080055,3,0.4349398354769128,0.5343510754594104
microsoft_PowerToys,35,0.048582995951417005,0.1400070003500175,0.053033908439140715,100.0,0.0,997.0,2,0.11543002854216952,0.16846393698131024,3,-1.6359089906173259,-0.4173124334483591
microsoft_TypeScript,65,1.1607661056297156,0.10443864229765012,-0.7035379443243632,63.41463414634146,0.0,618.170731707317,41,0.8450111033882186,0.1414731590638554,3,-0.4118897967008321,-0.3335141393700824
microsoft_terminal,67,1.9627579265223956,0.21929824561403508,-1.4978191524545224,84.0909090909091,0.0,910.3409090909091,44,1.7992228294322015,0.30140367697767906,3,-0.6131396371603702,-1.4302788363263943
microsoft_vscode,175,0.3840209806584555,0.14713610089332632,-0.14469011822426017,49.43820224719101,0.0,500.02247191011236,89,0.2811291072082938,0.13643898898403364,3,1.33955864289843,0.021038487824218136
mui_material-ui,131,1.6654330125832717,1.6488845780795343,-0.10887675961663223,84.50704225352112,0.0,332.50704225352115,71,1.9491920645294152,1.840315304912783,3,0.3535288774439339,-0.6197558423147167
nodejs_node,135,1.267710663683818,2.231237322515213,0.4204304196765607,30.0,0.0,649.95,20,2.042306036067261,2.462736455743822,2,0.1353454056973814,1.23431635879104
ohmyzsh_ohmyzsh,10,0.5319148936170213,0.0,-1.0038405919302051,50.0,0.0,778.5,2,1.381199082496243,0.37735849056603776,3,-1.321806390182103,0.006213309710831069
puppeteer_puppeteer,22,0.1893939393939394,2.70935960591133,1.5632826772342563,83.33333333333334,0.0,834.0,6,0.3068610432471819,1.8701437204814382,3,-1.3975296465312472,1.1204419695386698
pytorch_pytorch,363,0.6163328197226503,0.851384847505119,0.11736379565417354,0.0,0.0,397.281914893617,188,1.0824746099120994,1.199838405566273,1,4.860807787789367,0.6406186980256424
rust-lang_rust,376,2.7454630060493255,1.452599388379205,-1.4244873670161395,84.15841584158416,0.0,280.05940594059405,101,2.731652664850389,1.3071652978342494,1,2.4829223324556704,-2.194286174707229
storybookjs_storybook,160,1.4285714285714286,1.5473887814313347,1.3198765186679173,55.35714285714286,0.0,2539.8035714285716,56,1.9718034835585412,3.2916800022264585,3,0.6900358975186158,1.1362184975361118
supabase_supabase,263,6.976744186046512,1.5368852459016393,-2.1323086302675787,75.86206896551724,0.0,473.41379310344826,29,7.316123289195504,5.1838146589279255,1,0.5376420600706953,-2.0454361987849943
sveltejs_svelte,18,0.5681818181818182,0.17472335468841002,-0.37187729888564236,80.0,0.0,838.2,5,0.6577829868188613,0.2859056879332189,3,-1.5077301384263868,-0.24682526248530098
tauri-apps_tauri,71,1.9607843137254901,1.3461538461538463,-0.7765167465562166,81.25,0.0,857.625,16,1.8210646948931695,1.0445479483369529,3,-0.9913374777574789,-0.7254447399834905
vercel_next.js,108,1.8385789965721409,0.12111425111021397,-1.0627094938995838,61.111111111111114,0.0,664.2037037037037,54,1.3201170131554782,0.2574075192558944,3,0.11045770705018357,-0.6824634359783692
yt-dlp_yt-dlp,155,2.637614678899083,0.1344688480502017,-1.870138214002405,88.37209302325581,0.0,2587.9767441860463,43,2.567730681396139,0.6975924673937343,3,-0.09031372413908491,-1.9800756827876695
